player_name,team_abbr,pos,age,G,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,USG%,WS,WS/48,BPM,VORP,salary,team_name,wins,losses,Win_PCT,home_record,road_record,conference,overall_rank,ws_per_million
Ivica Zubac,LAC,C,27.0,80.0,80.0,32.8,0.628,,0.661,12.6,2.7,0.7,1.1,1.6,16.8,22.3,0.641,19.5,11.7,0.215,3.1,3.4,11743210,LA Clippers,50,32,0.61,30-11,20-21,West,6,0.9963204268679517
Derrick White,BOS,SG,30.0,76.0,76.0,33.9,0.442,0.384,0.839,4.5,4.8,0.9,1.1,1.7,16.4,16.6,0.606,19.8,8.5,0.158,3.5,3.6,20017429,Boston Celtics,61,21,0.744,28-13,33-8,East,3,0.42462995622464805
Malik Beasley,DET,SG,28.0,82.0,18.0,27.8,0.43,0.416,0.679,2.6,1.7,0.9,0.1,1.0,16.3,14.4,0.59,22.5,4.7,0.1,0.8,1.6,6000000,Detroit Pistons,44,38,0.537,22-19,22-19,East,14,0.7833333333333333
Devin Vassell,SAS,SG,24.0,64.0,53.0,31.0,0.443,0.368,0.792,4.0,2.9,1.3,0.5,1.4,16.3,14.2,0.553,22.1,2.2,0.054,-1.1,0.4,29347826,San Antonio Spurs,34,48,0.415,20-20,13-27,West,23,0.07496296318507545
Jordan Clarkson,UTA,SG,32.0,37.0,9.0,26.0,0.408,0.362,0.797,3.2,3.7,0.8,0.2,2.3,16.2,14.5,0.54,27.8,0.4,0.021,-1.5,0.1,14092577,Utah Jazz,17,65,0.207,10-31,7-34,West,30,0.028383737055330618
Paul George,PHI,PF,34.0,41.0,41.0,32.5,0.43,0.358,0.814,5.3,4.3,1.8,0.5,2.6,16.2,14.5,0.543,23.5,1.0,0.036,-0.4,0.5,49205800,Philadelphia 76ers,24,58,0.293,12-29,12-29,East,26,0.020322807473915676
Jalen Suggs,ORL,PG,23.0,35.0,35.0,28.6,0.41,0.314,0.882,4.0,3.7,1.5,0.9,2.9,16.2,14.4,0.536,27.5,1.1,0.052,0.4,0.6,9188385,Orlando Magic,41,41,0.5,22-19,19-22,East,15,0.11971635929491418
Bennedict Mathurin,IND,SF,22.0,72.0,49.0,29.8,0.458,0.34,0.831,5.3,1.9,0.7,0.3,1.9,16.1,13.6,0.579,22.8,3.0,0.068,-2.9,-0.5,7245720,Indiana Pacers,50,32,0.61,29-11,20-20,East,6,0.41403752836157065
Myles Turner,IND,C,28.0,72.0,72.0,30.2,0.481,0.396,0.773,6.5,1.5,0.8,2.0,1.7,15.6,16.1,0.612,20.7,4.7,0.104,0.4,1.3,19928500,Indiana Pacers,50,32,0.61,29-11,20-20,East,6,0.23584313922272124
Christian Braun,DEN,SG,23.0,79.0,77.0,33.9,0.58,0.397,0.827,5.2,2.6,1.1,0.5,1.0,15.4,16.0,0.665,15.8,8.0,0.144,0.3,1.6,3089640,Denver Nuggets,50,32,0.61,26-15,24-17,West,6,2.589298429590502
Jonathan Kuminga,GSW,PF,22.0,47.0,10.0,24.3,0.454,0.305,0.668,4.6,2.2,0.8,0.4,1.5,15.3,15.7,0.535,27.4,1.9,0.08,-0.6,0.4,7636154,Golden State Warriors,48,34,0.585,24-17,24-17,West,11,0.24881635441087227
Jared McCain,PHI,SG,20.0,23.0,8.0,25.7,0.46,0.383,0.875,2.4,2.6,0.7,0.0,1.6,15.3,15.2,0.589,24.7,0.7,0.057,0.2,0.3,4032240,Philadelphia 76ers,24,58,0.293,12-29,12-29,East,26,0.17360077773148425
Mark Williams,CHO,C,23.0,44.0,41.0,26.6,0.604,0.0,0.804,10.2,2.5,0.7,1.2,1.6,15.3,23.9,0.647,21.4,4.7,0.195,3.5,1.6,4094280,Charlotte Hornets,19,63,0.232,12-29,7-34,East,28,1.1479429838701798
Kelly Oubre Jr.,PHI,SF,29.0,60.0,57.0,34.6,0.47,0.293,0.751,6.1,1.8,1.5,0.5,1.3,15.1,13.5,0.551,18.9,2.6,0.061,-2.3,-0.1,7983000,Philadelphia 76ers,24,58,0.293,12-29,12-29,East,26,0.3256920957033697
Chet Holmgren,OKC,C,22.0,32.0,32.0,27.4,0.49,0.379,0.754,8.0,2.0,0.7,2.2,1.8,15.0,19.2,0.599,22.0,3.2,0.173,2.4,1.0,10880640,Oklahoma City Thunder,68,14,0.829,35-6,32-8,West,1,0.29410034703840954
Stephon Castle,SAS,SG,20.0,81.0,47.0,26.7,0.428,0.285,0.724,3.7,4.1,0.9,0.3,2.2,14.7,13.7,0.522,26.0,1.1,0.025,-3.2,-0.6,9131760,San Antonio Spurs,34,48,0.415,20-20,13-27,West,23,0.12045870675532429
Aaron Gordon,DEN,PF,29.0,51.0,42.0,28.4,0.531,0.436,0.81,4.8,3.2,0.5,0.3,1.4,14.7,17.0,0.65,19.0,4.3,0.143,1.2,1.2,22841455,Denver Nuggets,50,32,0.61,26-15,24-17,West,6,0.18825420709845322
P.J. Washington,DAL,PF,26.0,57.0,56.0,32.2,0.453,0.381,0.722,7.8,2.3,1.1,1.1,2.1,14.7,14.0,0.556,20.4,2.4,0.062,-0.9,0.5,15500000,Dallas Mavericks,39,43,0.476,22-18,17-25,West,18,0.15483870967741936
Josh Giddey,CHI,PG,22.0,70.0,69.0,30.2,0.465,0.378,0.781,8.1,7.2,1.2,0.6,2.9,14.6,18.1,0.57,21.7,5.3,0.121,3.0,2.7,8352367,Chicago Bulls,39,43,0.476,18-23,21-20,East,18,0.6345506609084587
Jakob Poeltl,TOR,C,29.0,57.0,56.0,29.6,0.627,0.333,0.674,9.6,2.8,1.2,1.2,1.9,14.5,20.0,0.641,18.7,5.5,0.158,2.0,1.7,19500000,Toronto Raptors,30,52,0.366,18-23,12-29,East,24,0.28205128205128205
Deandre Ayton,POR,C,26.0,40.0,40.0,30.2,0.566,0.188,0.667,10.2,1.6,0.8,1.0,1.7,14.4,17.7,0.583,19.4,2.8,0.113,-0.7,0.4,34005126,Portland Trail Blazers,36,46,0.439,22-19,14-27,West,21,0.08234052713111548
Gradey Dick,TOR,SG,21.0,54.0,54.0,29.4,0.41,0.35,0.858,3.6,1.8,0.9,0.2,1.5,14.4,10.9,0.543,21.0,1.4,0.042,-3.2,-0.5,4763760,Toronto Raptors,30,52,0.366,18-23,12-29,East,24,0.2938855022083396
Jerami Grant,POR,PF,30.0,47.0,47.0,32.4,0.373,0.365,0.849,3.5,2.1,0.9,1.0,1.4,14.4,10.9,0.523,19.4,1.8,0.057,-1.6,0.1,29793104,Portland Trail Blazers,36,46,0.439,22-19,14-27,West,21,0.06041666554783953
Payton Pritchard,BOS,PG,27.0,80.0,3.0,28.4,0.472,0.407,0.845,3.8,3.5,0.9,0.2,1.0,14.3,17.6,0.633,19.0,8.6,0.183,3.5,3.2,6696429,Boston Celtics,61,21,0.744,28-13,33-8,East,3,1.2842665844736052
