player_name,team_abbr,pos,age,G,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PTS
Walker Kessler,UTA,C,23.0,58.0,58.0,30.0,0.663,0.176,0.52,12.2,1.7,0.6,2.4,1.5,11.1
Gary Trent Jr.,MIL,SG,26.0,74.0,9.0,25.6,0.431,0.416,0.848,2.3,1.2,1.0,0.1,0.6,11.1
Spencer Dinwiddie,DAL,PG,31.0,79.0,30.0,27.0,0.416,0.334,0.802,2.6,4.4,0.9,0.2,1.3,11.0
Tim Hardaway Jr.,DET,SG,32.0,77.0,77.0,28.0,0.406,0.368,0.855,2.4,1.6,0.5,0.1,0.6,11.0
Duncan Robinson,MIA,SF,30.0,74.0,37.0,24.1,0.437,0.393,0.887,2.3,2.4,0.5,0.1,1.2,11.0
Guerschon Yabusele,PHI,C,29.0,70.0,43.0,27.1,0.501,0.38,0.725,5.6,2.1,0.8,0.3,1.2,11.0
Brice Sensabaugh,UTA,SF,21.0,71.0,15.0,20.2,0.459,0.422,0.89,3.0,1.5,0.6,0.1,1.5,10.9
Jordan Hawkins,NOP,SG,22.0,56.0,9.0,23.6,0.372,0.331,0.816,2.8,1.2,0.5,0.4,1.0,10.8
Brandon Boston Jr.,NOP,SG,23.0,42.0,10.0,23.6,0.436,0.35,0.788,3.2,2.2,1.3,0.2,1.2,10.7
Nikola Jovic,MIA,PF,21.0,46.0,10.0,25.1,0.456,0.371,0.828,3.9,2.8,0.8,0.3,1.3,10.7
Grayson Allen,PHO,SG,29.0,64.0,7.0,24.1,0.448,0.426,0.816,3.0,2.1,0.8,0.3,1.2,10.6
Keon Johnson,BRK,SG,22.0,79.0,56.0,24.4,0.389,0.314,0.77,3.8,2.2,1.0,0.4,1.5,10.6
Terry Rozier,MIA,PG,30.0,64.0,23.0,25.9,0.391,0.295,0.852,3.7,2.6,0.6,0.2,1.2,10.6
Obi Toppin,IND,PF,26.0,79.0,4.0,19.6,0.529,0.365,0.781,4.0,1.6,0.6,0.4,0.9,10.5
Ochai Agbaji,TOR,SG,24.0,64.0,45.0,27.2,0.498,0.399,0.708,3.8,1.5,0.9,0.5,0.8,10.4
Jaylen Wells,MEM,SG,21.0,79.0,74.0,25.9,0.425,0.352,0.822,3.4,1.7,0.6,0.1,0.9,10.4
Grant Williams,CHO,PF,26.0,16.0,7.0,29.9,0.439,0.365,0.838,5.1,2.3,1.1,0.8,1.8,10.4
Jose Alvarado,NOP,PG,26.0,56.0,23.0,24.4,0.392,0.359,0.811,2.4,4.6,1.3,0.3,1.5,10.3
Nic Claxton,BRK,C,25.0,70.0,62.0,26.9,0.563,0.238,0.513,7.4,2.2,0.9,1.4,1.2,10.3
