player_name,team_abbr,PER,TS%,USG%,WS,WS/48,BPM,VORP
Rui Hachimura,LAL,13.6,0.619,15.8,4.3,0.11,-0.7,0.6
RJ Barrett,TOR,16.5,0.547,28.7,2.4,0.061,0.6,1.2
Buddy Hield,GSW,12.3,0.56,20.5,2.8,0.073,-1.0,0.5
Trey Murphy III,NOP,17.3,0.598,23.7,3.5,0.091,0.8,1.3
Zaccharie Risacher,ATL,12.2,0.558,20.9,1.8,0.046,-3.5,-0.7
Isaiah Collier,UTA,9.7,0.494,18.9,-0.8,-0.021,-5.3,-1.6
Keldon Johnson,SAS,15.6,0.572,21.6,3.2,0.083,-1.6,0.2
Royce O'Neale,PHO,12.6,0.585,15.5,2.8,0.073,0.1,1.0
P.J. Washington,DAL,14.0,0.556,20.4,2.4,0.062,-0.9,0.5
CJ McCollum,NOP,15.8,0.55,27.2,1.5,0.038,-1.4,0.3
Haywood Highsmith,MIA,9.9,0.583,11.3,3.3,0.088,-1.9,0.1
Alex Sarr,WAS,12.9,0.482,23.5,-0.3,-0.007,-3.3,-0.6
Kyrie Irving,DAL,19.9,0.594,27.4,4.6,0.124,3.4,2.5
Kyshawn George,WAS,8.8,0.503,15.9,0.1,0.003,-4.1,-0.9
Cameron Johnson,BRK,18.2,0.632,22.9,5.1,0.137,3.1,2.3
Duncan Robinson,MIA,11.8,0.595,19.2,2.7,0.071,-1.7,0.1
Kris Dunn,LAC,11.3,0.531,12.7,4.0,0.108,0.6,1.2
Scoot Henderson,POR,12.5,0.54,22.5,1.8,0.049,-2.2,-0.1
Wendell Carter Jr.,ORL,13.7,0.544,16.0,4.6,0.125,-1.2,0.3
Collin Sexton,UTA,16.6,0.593,27.0,2.4,0.066,-0.6,0.6
Mike Conley,MIN,13.3,0.573,14.4,5.2,0.142,1.2,1.4
Amir Coffey,LAC,11.2,0.614,15.3,4.0,0.111,-1.7,0.1
Aaron Wiggins,OKC,16.1,0.596,20.3,5.4,0.148,1.1,1.4
Walker Kessler,UTA,20.0,0.66,13.7,5.4,0.149,1.8,1.7
Ochai Agbaji,TOR,12.0,0.601,14.6,3.1,0.087,-0.7,0.5
Brandin Podziemski,GSW,14.4,0.557,18.3,4.2,0.117,0.7,1.2
Jabari Smith Jr.,HOU,12.6,0.562,16.4,4.2,0.117,-0.7,0.6
Bradley Beal,PHO,15.2,0.598,22.1,2.4,0.068,-1.1,0.4
Jakob Poeltl,TOR,20.0,0.641,18.7,5.5,0.158,2.0,1.7
Scotty Pippen Jr.,MEM,15.8,0.582,19.3,4.7,0.133,1.9,1.7
Santi Aldama,MEM,16.8,0.588,18.5,5.0,0.144,3.2,2.2
A.J. Green,MIL,9.2,0.621,12.6,2.8,0.082,-2.2,-0.1
Al Horford,BOS,12.9,0.563,13.8,4.4,0.129,1.2,1.3
Terry Rozier,MIA,10.5,0.497,20.4,1.0,0.029,-3.7,-0.7
Peyton Watson,DEN,11.4,0.564,13.9,2.5,0.073,-1.8,0.1
Moses Moody,GSW,12.4,0.578,17.4,3.5,0.102,-0.9,0.5
Tristan Da Silva,ORL,9.9,0.522,15.2,2.5,0.073,-2.6,-0.3
Donte DiVincenzo,MIN,14.1,0.582,19.4,3.9,0.115,1.9,1.6
Isaiah Joe,OKC,14.0,0.617,17.2,5.1,0.153,1.3,1.4
Corey Kispert,WAS,11.0,0.584,17.5,1.1,0.032,-3.7,-0.7
Miles McBride,NYK,12.6,0.531,16.8,3.2,0.098,0.0,0.8
Isaiah Hartenstein,OKC,18.9,0.599,16.7,6.8,0.205,3.2,2.1
Gradey Dick,TOR,10.9,0.543,21.0,1.4,0.042,-3.2,-0.5
Paolo Banchero,ORL,20.0,0.551,33.6,3.5,0.106,3.5,2.2
Patrick Williams,CHI,9.0,0.512,16.9,0.4,0.012,-3.7,-0.7
Obi Toppin,IND,17.4,0.642,20.1,4.3,0.135,1.7,1.4
Grayson Allen,PHO,13.7,0.631,17.6,2.5,0.079,-0.3,0.7
Sam Hauser,BOS,12.8,0.632,14.3,4.4,0.136,0.8,1.1
Ziaire Williams,BRK,11.9,0.55,18.2,2.1,0.065,-2.3,-0.1
Gabe Vincent,LAL,7.4,0.536,13.5,1.3,0.039,-4.0,-0.8
Victor Wembanyama,SAS,24.2,0.594,30.4,3.8,0.118,6.5,3.3
Jerami Grant,POR,10.9,0.523,19.4,1.8,0.057,-1.6,0.1
Kyle Filipowski,UTA,14.9,0.594,18.7,2.5,0.078,-1.0,0.4
Ja Morant,MEM,19.3,0.563,32.2,3.5,0.112,2.4,1.7
Matas Buzelis,CHI,12.5,0.571,18.7,1.9,0.06,-2.5,-0.2
LaMelo Ball,CHO,19.1,0.536,35.9,2.0,0.065,3.2,2.0
Dalton Knecht,LAL,12.7,0.594,18.5,2.7,0.086,-1.8,0.1
Lauri Markkanen,UTA,15.6,0.571,24.0,2.2,0.07,-0.3,0.7
Luke Kennard,MEM,13.6,0.631,14.5,3.9,0.127,1.1,1.2
Jamal Shead,TOR,9.9,0.499,18.6,0.8,0.027,-4.1,-0.8
Aaron Gordon,DEN,17.0,0.65,19.0,4.3,0.143,1.2,1.2
Isaiah Stewart,DET,14.6,0.616,12.4,4.3,0.144,0.6,0.9
Brice Sensabaugh,UTA,13.4,0.612,21.5,1.2,0.042,-1.2,0.3
Goga Bitadze,ORL,19.2,0.631,14.3,5.8,0.195,2.5,1.6
Kel'el Ware,MIA,17.4,0.603,17.2,4.1,0.14,-0.1,0.7
Tari Eason,HOU,18.5,0.567,19.4,5.0,0.169,3.6,2.0
Zach Edey,MEM,18.2,0.624,16.4,4.9,0.165,-0.1,0.7
T.J. McConnell,IND,18.4,0.547,23.4,3.2,0.109,1.2,1.2
Ryan Dunn,PHO,10.7,0.517,16.7,1.0,0.034,-4.1,-0.7
Sam Merrill,CLE,11.1,0.583,14.3,3.3,0.113,0.3,0.8
Ayo Dosunmu,CHI,12.8,0.585,16.6,2.5,0.087,-1.6,0.1
Ty Jerome,CLE,21.0,0.643,23.6,5.9,0.204,4.3,2.2
Julian Strawther,DEN,9.5,0.559,17.8,1.3,0.043,-4.5,-0.9
Nick Smith Jr.,CHO,8.3,0.502,20.8,-0.5,-0.019,-5.7,-1.3
Jaime Jaquez Jr.,MIA,14.3,0.543,20.2,2.3,0.081,-0.9,0.4
Nicolas Batum,LAC,10.3,0.633,9.0,3.5,0.124,0.8,1.0
Jose Alvarado,NOP,13.4,0.523,19.8,1.2,0.043,-1.4,0.2
Jeremy Sochan,SAS,15.9,0.589,19.0,2.7,0.096,-1.2,0.3
Luke Kornet,BOS,19.6,0.683,11.4,7.0,0.246,3.3,1.8
Trey Lyles,SAC,12.3,0.551,14.3,2.6,0.091,-0.7,0.4
Justin Champagnie,WAS,15.7,0.614,15.6,2.8,0.1,-0.5,0.5
Paul George,PHI,14.5,0.543,23.5,1.0,0.036,-0.4,0.5
Ausar Thompson,DET,17.2,0.568,19.1,3.8,0.138,1.7,1.2
Donovan Clingan,POR,17.4,0.574,14.2,4.0,0.144,-0.3,0.6
Jordan Hawkins,NOP,9.6,0.504,21.0,-0.5,-0.02,-5.4,-1.2
Tyrese Martin,BRK,10.9,0.533,18.8,0.9,0.033,-2.6,-0.2
