0,1,2,3
185,"Jalen Smith, F",Chicago Bulls,"$8,571,429"
186,"Georges Niang, F",Atlanta Hawks,"$8,500,000"
187,"Ausar Thompson, G",Detroit Pistons,"$8,376,000"
188,"Josh Giddey, G",Chicago Bulls,"$8,352,367"
189,"Josh Okogie, G",Charlotte Hornets,"$8,250,000"
190,"Ronald Holland II, F",Detroit Pistons,"$8,245,320"
RK,NAME,TEAM,SALARY
191,"Caleb Martin, F",Dallas Mavericks,"$8,149,001"
192,"Cody Martin, SF",Phoenix Suns,"$8,120,000"
193,"Trey Lyles, PF",Sacramento Kings,"$8,000,000"
194,"Jock Landale, C",Houston Rockets,"$8,000,000"
195,"Jeff Green, F",Houston Rockets,"$8,000,000"
196,"Kevon Looney, F",Golden State Warriors,"$8,000,000"
197,"Kelly Oubre Jr., G",Philadelphia 76ers,"$7,983,000"
198,"Jaden Ivey, G",Detroit Pistons,"$7,977,240"
199,"KJ Martin, F",Utah Jazz,"$7,975,000"
200,"Vasilije Micic, G",Phoenix Suns,"$7,723,000"
RK,NAME,TEAM,SALARY
201,"Simone Fontecchio, F",Detroit Pistons,"$7,692,308"
202,"Jonathan Kuminga, F",Golden State Warriors,"$7,636,154"
203,"Anthony Black, G",Orlando Magic,"$7,607,760"
204,"Jae'Sean Tate, F",Houston Rockets,"$7,565,217"
205,"Tidjane Salaun, F",Charlotte Hornets,"$7,488,720"
206,"Bennedict Mathurin, G",Indiana Pacers,"$7,245,720"
207,"Max Christie, G",Dallas Mavericks,"$7,142,857"
208,"Franz Wagner, F",Orlando Magic,"$7,007,092"
209,"Ayo Dosunmu, G",Chicago Bulls,"$7,000,000"
210,"Bilal Coulibaly, G",Washington Wizards,"$6,945,240"
RK,NAME,TEAM,SALARY
211,"Nassir Little, SF",Miami Heat,"$6,750,000"
212,"Gary Harris, G",Orlando Magic,"$6,730,769"
213,"Payton Pritchard, G",Boston Celtics,"$6,696,429"
214,"Kenrich Williams, G",Oklahoma City Thunder,"$6,669,000"
215,"Sasha Vezenkov, F",Toronto Raptors,"$6,658,536"
216,"Shaedon Sharpe, G",Portland Trail Blazers,"$6,614,160"
217,"Donovan Clingan, C",Portland Trail Blazers,"$6,586,440"
218,"Jevon Carter, G",Chicago Bulls,"$6,500,000"
219,"Davion Mitchell, G",Miami Heat,"$6,451,230"
220,"Saddiq Bey, G",New Orleans Pelicans,"$6,440,678"
RK,NAME,TEAM,SALARY
221,"Jarace Walker, F",Indiana Pacers,"$6,362,520"
222,"Rob Dillingham, G",Minnesota Timberwolves,"$6,262,920"
