rank,player_name,position,team,team_abbr,salary
130,Josh Green,G,Charlotte Hornets,CHO,12654321
131,Devonte' Graham,PG,Portland Trail Blazers,POR,12650000
132,Richaun Holmes,F,Washington Wizards,WAS,12648321
133,Steven Adams,C,Houston Rockets,HOU,12600000
134,Bobby Portis,F,Milwaukee Bucks,MIL,12578286
135,Zaccharie Risacher,F,Atlanta Hawks,ATL,12569040
136,Marvin Bagley III,F,Memphis Grizzlies,MEM,12500000
137,Brandon Clarke,F,Memphis Grizzlies,MEM,12500000
138,Jalen Green,G,Houston Rockets,HOU,12483048
139,Robert Williams III,C,Portland Trail Blazers,POR,12428571
140,Paolo Banchero,F,Orlando Magic,ORL,12160800
141,Coby White,G,Chicago Bulls,CHI,12000000
142,Wendell Carter Jr.,C,Orlando Magic,ORL,11950000
143,Ivica Zubac,C,LA Clippers,LAC,11743210
144,Donte DiVincenzo,G,Minnesota Timberwolves,MIN,11445000
145,Brandon Miller,F,Charlotte Hornets,CHO,11424600
146,Terance Mann,G,Atlanta Hawks,ATL,11423077
147,Alex Sarr,C,Washington Wizards,WAS,11245680
148,Evan Mobley,C,Cleveland Cavaliers,CLE,11227809
149,Larry Nance Jr.,F,Atlanta Hawks,ATL,11205000
150,Matisse Thybulle,G,Portland Trail Blazers,POR,11025160
151,Moritz Wagner,F,Orlando Magic,ORL,11000000
152,Gabe Vincent,G,Los Angeles Lakers,LAL,11000000
153,Maxi Kleber,F,Dallas Mavericks,DAL,11000000
154,Aaron Nesmith,G,Indiana Pacers,IND,11000000
155,Chet Holmgren,C,Oklahoma City Thunder,OKC,10880640
156,Chris Boucher,F,Toronto Raptors,TOR,10810000
157,Jarred Vanderbilt,F,Los Angeles Lakers,LAL,10714286
158,Aaron Wiggins,G,Oklahoma City Thunder,OKC,10514017
159,Chris Paul,G,San Antonio Spurs,SAS,10460000
160,Scoot Henderson,G,Portland Trail Blazers,POR,10259160
161,Isaac Okoro,F,Cleveland Cavaliers,CLE,10185185
162,Scottie Barnes,F,Toronto Raptors,TOR,10130980
163,Reed Sheppard,G,Houston Rockets,HOU,10098960
164,Mike Conley,G,Minnesota Timberwolves,MIN,9975962
165,Jonas Valanciunas,C,Sacramento Kings,SAC,9900000
166,Alex Caruso,G,Oklahoma City Thunder,OKC,9890000
167,Royce O'Neale,F,Phoenix Suns,PHO,9821429
168,Jabari Smith Jr.,F,Houston Rockets,HOU,9770880
169,Derrick Jones Jr.,F,LA Clippers,LAC,9523810
170,Al Horford,C,Boston Celtics,BOS,9500000
171,Pat Connaughton,G,Milwaukee Bucks,MIL,9423869
172,T.J. McConnell,G,Indiana Pacers,IND,9300000
173,Luke Kennard,G,Memphis Grizzlies,MEM,9250000
174,Amen Thompson,G,Houston Rockets,HOU,9249960
175,Jalen Suggs,G,Orlando Magic,ORL,9188385
176,Stephon Castle,G,San Antonio Spurs,SAS,9131760
177,Gary Payton II,G,Golden State Warriors,GSW,9130000
178,Tre Jones,G,Chicago Bulls,CHI,9104167
179,Goga Bitadze,C,Orlando Magic,ORL,9057971
180,Zeke Nnaji,F,Denver Nuggets,DEN,8888889
181,Keegan Murray,F,Sacramento Kings,SAC,8809560
182,Kyle Anderson,F,Miami Heat,MIA,8780488
183,Buddy Hield,G,Golden State Warriors,GSW,8780488
184,Naji Marshall,F,Dallas Mavericks,DAL,8571429
185,Jalen Smith,F,Chicago Bulls,CHI,8571429
186,Georges Niang,F,Atlanta Hawks,ATL,8500000
187,Ausar Thompson,G,Detroit Pistons,DET,8376000
188,Josh Giddey,G,Chicago Bulls,CHI,8352367
